City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Juba,SS,2022-05-08 14:13:21,4.8517,31.5825,96.48,32,91,1.74
260,Vaitape,PF,2022-05-08 14:13:21,-16.5167,-151.75,81.37,77,22,10.04
261,Jiangyou,CN,2022-05-08 14:13:22,31.7667,104.7167,72.05,77,100,2.59
262,Oriximina,BR,2022-05-08 14:13:22,-1.7656,-55.8661,74.23,98,100,3.33
263,Castro,BR,2022-05-08 14:01:03,-24.7911,-50.0119,60.17,69,41,7.31
264,Avera,US,2022-05-08 14:13:23,33.194,-82.5271,60.31,75,100,10.22
265,Vanimo,PG,2022-05-08 14:13:23,-2.6741,141.3028,79.92,90,96,7.94
266,Ciudad Bolivar,VE,2022-05-08 14:13:24,8.1222,-63.5497,77.14,86,100,1.99
267,Adrar,MR,2022-05-08 14:13:24,20.5022,-10.0711,103.64,8,37,10.13
268,Aquiraz,BR,2022-05-08 14:13:24,-3.9014,-38.3911,81.18,89,100,8.08
269,Nacala,MZ,2022-05-08 14:13:25,-14.5428,40.6728,79.65,73,100,9.37
270,Kutum,SD,2022-05-08 14:02:05,14.2,24.6667,95.4,5,1,6.76
271,Mnogovershinnyy,RU,2022-05-08 14:13:25,53.9353,139.9242,28.0,88,100,6.73
272,Provideniya,RU,2022-05-08 14:13:26,64.3833,-173.3,30.67,98,100,7.67
273,Waddan,LY,2022-05-08 14:14:26,29.1614,16.139,87.37,14,1,10.07
274,Bowral,AU,2022-05-08 14:14:27,-34.4667,150.4167,49.14,89,5,1.63
275,Benjamin Hill,MX,2022-05-08 14:14:27,30.1667,-111.1,68.79,30,0,11.1
276,Poplar Bluff,US,2022-05-08 14:14:27,36.757,-90.3929,65.34,79,0,5.75
277,Tarrega,ES,2022-05-08 14:14:28,41.647,1.1396,75.15,26,48,5.53
278,Skelleftea,SE,2022-05-08 14:14:28,64.7507,20.9528,48.99,36,0,14.97
279,Oranjemund,NA,2022-05-08 14:14:29,-28.55,16.4333,61.92,63,12,14.72
280,Tasiilaq,GL,2022-05-08 14:14:29,65.6145,-37.6368,35.76,67,100,6.87
281,Polis,CY,2022-05-08 14:14:30,35.0367,32.4264,73.29,43,41,10.6
282,La Ronge,CA,2022-05-08 14:14:30,55.1001,-105.2842,40.93,71,93,15.19
283,Ambilobe,MG,2022-05-08 14:14:30,-13.2,49.05,80.22,77,66,1.1
284,Callaway,US,2022-05-08 14:14:31,30.153,-85.5699,73.9,65,3,5.99
285,Hebi,CN,2022-05-08 14:14:31,35.8992,114.1925,54.03,50,100,7.38
286,Walvis Bay,NA,2022-05-08 14:14:32,-22.9575,14.5053,69.53,42,0,12.8
287,Wilmington,US,2022-05-08 14:10:55,34.2257,-77.9447,55.99,73,100,14.97
288,Springfield,US,2022-05-08 14:14:32,37.2153,-93.2982,63.37,71,0,24.16
289,Ichhawar,IN,2022-05-08 14:14:33,23.0167,77.0167,100.49,11,0,6.76
290,Nueve De Julio,AR,2022-05-08 14:14:33,-35.4444,-60.8831,67.57,64,57,14.43
291,Marsa Matruh,EG,2022-05-08 14:14:34,31.3525,27.2453,75.74,46,16,13.58
292,Green River,US,2022-05-08 14:14:34,41.5286,-109.4662,42.98,55,1,5.99
293,Cooma,AU,2022-05-08 14:14:35,-36.2333,149.1333,38.68,94,6,1.92
294,Tumen,CN,2022-05-08 14:14:35,42.9661,129.8425,45.59,37,0,3.56
