City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Techiman,GH,7.5862,-1.9414,88.9,50,94,5.57,Clouds
243,Anqing,CN,30.5092,117.0506,68.65,82,91,5.44,Clouds
244,Bilibino,RU,68.0546,166.4372,23.52,96,100,5.19,Snow
245,Boyolangu,ID,-8.1181,111.8935,77.43,91,100,2.66,Rain
246,Fortuna,US,40.5982,-124.1573,50.67,89,75,3.44,Clouds
247,Aklavik,CA,68.2191,-135.0107,37.4,70,20,10.36,Clouds
248,Piacabucu,BR,-10.4056,-36.4344,83.44,64,51,10.85,Clouds
249,Bardiyah,LY,31.7561,25.0865,69.94,62,0,22.86,Clear
250,Leshan,CN,29.5623,103.7639,75.07,72,97,5.95,Rain
251,Ola,RU,59.5833,151.2833,30.11,90,72,7.65,Clouds
252,Mahajanga,MG,-15.7167,46.3167,80.62,83,20,8.05,Clouds
253,Pingzhuang,CN,42.0372,119.2889,48.47,35,0,5.97,Clear
254,Itanhem,BR,-17.1664,-40.33,80.51,56,100,8.25,Clouds
255,Tautira,PF,-17.7333,-149.15,80.35,80,8,8.46,Rain
256,Toyooka,JP,35.5333,134.8333,51.96,60,100,1.63,Clouds
257,Yining,CN,29.0361,114.5636,66.49,98,68,0.83,Clouds
258,Concepcion Del Uruguay,AR,-32.4825,-58.2372,71.98,59,76,1.99,Clouds
259,Chuy,UY,-33.6971,-53.4616,69.01,54,15,8.5,Clouds
260,Moctezuma,MX,29.8,-109.6667,85.68,14,0,12.57,Clear
261,Buritizeiro,BR,-17.3511,-44.9622,90.46,28,17,4.34,Clouds
262,Kindia,GN,10.0569,-12.8658,90.82,43,98,4.74,Clouds
263,Male,MV,4.1748,73.5089,85.95,84,75,19.57,Clouds
264,Isangel,VU,-19.55,169.2667,72.82,76,25,11.39,Clouds
265,Khandyga,RU,62.6667,135.6,39.47,91,100,10.85,Rain
266,Krasnoselkup,RU,65.7,82.4667,23.07,87,41,7.49,Clouds
267,Severo-Kurilsk,RU,50.6789,156.125,38.48,95,100,19.08,Rain
268,Catalao,BR,-18.1658,-47.9464,85.3,35,51,4.21,Clouds
269,Nemuro,JP,43.3236,145.575,39.94,78,3,7.9,Clear
270,Pangai,TO,-19.8,-174.35,78.04,75,95,14.07,Clouds
271,Benjamin Aceval,PY,-24.9667,-57.5667,78.94,45,0,5.66,Clear
272,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,5.75,Clouds
273,Weligama,LK,5.9667,80.4167,82.18,85,100,13.69,Clouds
274,Oussouye,SN,12.485,-16.5469,102.38,48,7,11.68,Clear
275,Camacha,PT,33.0833,-16.3333,63.82,55,20,16.11,Clouds
276,Tukrah,LY,32.5341,20.5791,65.1,72,0,8.88,Clear
277,Boquira,BR,-12.8231,-42.7306,86.4,38,72,10.11,Clouds
278,Banjar,ID,-8.19,114.9675,78.73,90,95,3.4,Rain
279,Pangnirtung,CA,66.1451,-65.7125,26.19,83,8,4.32,Clear
280,Bonthe,SL,7.5264,-12.505,80.08,77,100,3.33,Clouds
281,Katobu,ID,-4.9408,122.5276,76.55,93,100,3.38,Clouds
282,Kimbe,PG,-5.5502,150.1429,76.82,93,99,3.49,Clouds
283,Basoko,CD,1.2391,23.616,75.63,81,100,2.71,Clouds
284,Lorengau,PG,-2.0226,147.2712,83.23,75,89,12.75,Clouds
285,Alekseyevsk,RU,57.8406,108.3492,33.84,76,100,12.95,Clouds
286,Derazhnya,UA,49.2692,27.4338,59.81,67,73,4.0,Clouds
287,Puerto Morazan,NI,12.8504,-87.1717,86.77,52,84,2.48,Clouds
288,Darbhanga,IN,26.1667,85.9,87.53,45,64,10.96,Clouds
289,Abu Zabad,SD,12.35,29.25,93.67,6,100,9.53,Clouds
290,Sarankhola,BD,22.3082,89.7897,82.02,76,9,5.53,Clear
291,Namtsy,RU,62.7161,129.6658,35.31,85,100,8.66,Clouds
292,Kirakira,SB,-10.4544,161.9205,79.77,85,99,10.2,Clouds
293,Amli,IN,20.2833,73.0167,85.69,68,90,6.35,Clouds
294,Touros,BR,-5.1989,-35.4608,83.59,71,92,13.58,Clouds
295,Saint-Georges,GD,12.0564,-61.7485,85.68,70,20,23.02,Clouds
296,Fare,PF,-16.7,-151.0167,81.3,77,3,11.16,Clear
297,Lagoa,PT,39.05,-27.9833,61.81,70,91,9.17,Clouds
298,Richardson,US,32.9482,-96.7297,87.71,65,75,18.41,Clouds
299,Port Augusta,AU,-32.5,137.7667,53.13,59,5,2.84,Clear
300,Cabo San Lucas,MX,22.8909,-109.9124,92.61,47,97,9.31,Clouds
301,Puerto Carreno,CO,6.189,-67.4859,84.18,74,40,5.75,Clouds
302,Yermakovskoye,RU,53.2831,92.4003,37.69,41,90,4.43,Clouds
303,Hobyo,SO,5.3505,48.5268,83.61,82,87,19.77,Clouds
304,Porto Novo,BJ,6.4965,2.6036,87.62,70,87,10.13,Clouds
305,Atambua,ID,-9.1061,124.8925,72.99,85,27,6.51,Clouds
306,Korla,CN,41.7597,86.1469,69.35,41,0,15.57,Clear
307,Asfi,MA,32.2994,-9.2372,75.76,49,47,23.85,Clouds
308,Ostrovnoy,RU,68.0531,39.5131,32.36,75,52,13.31,Clouds
309,Iztapa,GT,13.9333,-90.7075,89.65,74,100,11.5,Clouds
310,Najran,SA,17.4924,44.1277,90.25,13,4,6.98,Clear
311,Olafsvik,IS,64.8945,-23.7142,45.72,89,99,14.27,Clouds
312,Ahja,EE,58.2091,27.0734,50.18,54,85,13.6,Clouds
313,Santa Vitoria,BR,-18.8386,-50.1214,88.9,38,2,3.74,Clear
314,Gawler,AU,-34.6,138.7333,55.47,66,47,6.71,Clouds
315,Siavonga,ZM,-16.5382,28.7088,77.56,59,44,1.74,Clouds
316,Egvekinot,RU,66.3167,-179.1667,23.77,96,100,2.39,Snow
317,Lovozero,RU,68.005,35.0117,31.84,76,80,1.43,Clouds
318,Togur,RU,58.3631,82.8265,33.8,50,3,3.06,Clear
319,Roebourne,AU,-20.7833,117.1333,77.61,53,85,6.22,Rain
320,Bereda,ES,43.2686,-7.5406,74.41,46,20,6.49,Clouds
321,Kajaani,FI,64.2273,27.7285,42.85,42,0,12.66,Clear
322,Luganville,VU,-15.5333,167.1667,76.84,76,66,11.25,Clouds
323,Svetlogorsk,BY,52.6333,29.7333,55.18,88,88,7.16,Clouds
324,Mayumba,GA,-3.432,10.6554,78.91,85,51,5.55,Clouds
325,Carutapera,BR,-1.195,-46.02,82.02,83,98,6.06,Clouds
326,Baykit,RU,61.67,96.37,23.0,90,88,7.92,Snow
327,Takoradi,GH,4.8845,-1.7554,83.48,74,96,10.4,Clouds
328,Rocha,UY,-34.4833,-54.3333,70.84,50,7,9.89,Clear
329,Guerrero Negro,MX,27.9769,-114.0611,64.89,63,9,16.26,Clear
330,Derzhavinsk,KZ,51.1,66.3167,52.7,30,15,12.62,Clouds
331,Corn Island,NI,12.1694,-83.0418,82.24,78,100,7.49,Clouds
332,Boa Vista,BR,2.8197,-60.6733,78.78,83,75,6.91,Clouds
333,Komsomolskiy,UZ,40.4272,71.7189,79.52,29,0,2.3,Clear
334,Isiro,CD,2.7739,27.616,70.0,94,68,2.73,Rain
335,Drayton Valley,CA,53.2168,-114.9854,41.83,50,100,15.99,Clouds
336,Broken Hill,AU,-31.95,141.4333,46.11,87,0,6.91,Clear
337,Normandin,CA,48.8333,-72.5321,55.53,24,5,2.3,Clear
338,Aguimes,ES,27.9054,-15.4461,70.66,73,20,32.01,Clouds
339,Yima,CN,34.7381,111.8839,52.0,54,100,13.67,Clouds
340,Vardo,NO,70.3705,31.1107,33.78,69,20,10.36,Clouds
341,Zonguldak,TR,41.25,31.8333,43.59,89,7,2.55,Clear
342,Komsomolskoye,RU,55.2567,47.5461,50.52,57,17,5.82,Clouds
